"time","Q"
7880,-46.516
7890,-46.5385
7900,-46.5607
7910,-46.5832
7920,-46.6055
7930,-46.6277
7940,-46.65
7950,-46.6722
7960,-46.6942
7970,-46.7165
7980,-46.7385
7990,-46.7605
8000,-46.7822
8010,-46.8042
8020,-46.826
8030,-46.8477
8040,-46.8695
8050,-46.8912
8060,-46.913
8070,-46.9345
8080,-46.956
8090,-46.9775
8100,-46.999
8110,-47.0205
8120,-47.0417
8130,-47.063
8140,-47.0842
8150,-47.1055
8160,-47.1268
8170,-47.1478
8180,-47.1688
8190,-47.1897
8200,-47.2107
8210,-47.2317
8220,-47.2527
8230,-47.2735
8240,-47.2942
8250,-47.315
8260,-47.3357
8270,-47.3563
8280,-47.377
8290,-47.3975
8300,-47.418
8310,-47.4385
8320,-47.4587
8330,-47.4792
8340,-47.4995
8350,-47.5198
8360,-47.54
8370,-47.5602
8380,-47.5802
8390,-47.6005
8400,-47.6205
8410,-47.6405
8420,-47.6605
8430,-47.6803
8440,-47.7002
8450,-47.72
8460,-47.7398
8470,-47.7595
8480,-47.7792
8490,-47.7987
8500,-47.8185
8510,-47.838
8520,-47.8575
8530,-47.877
8540,-47.8962
8550,-47.9158
8560,-47.935
8570,-47.9543
8580,-47.9735
8590,-47.9928
8600,-48.012
8610,-48.031
8620,-48.05
8630,-48.0692
8640,-48.088
8650,-48.107
8660,-48.126
8670,-48.1448
8680,-48.1635
8690,-48.1825
8700,-48.201
8710,-48.2197
8720,-48.2385
8730,-48.257
8740,-48.2755
8750,-48.294
8760,-48.3125
8770,-48.331
8780,-48.3492
8790,-48.3678
8800,-48.386
8810,-48.4042
8820,-48.4225
8830,-48.4407
8840,-48.4587
8850,-48.4767
8860,-48.495
8870,-48.513
8880,-48.531
8890,-48.5487
8900,-48.5667
8910,-48.5845
8920,-48.6022
8930,-48.62
8940,-48.6377
8950,-48.6555
8960,-48.6732
8970,-48.6907
8980,-48.7082
8990,-48.7257
9000,-48.7433
9010,-48.7608
9020,-48.7782
9030,-48.7955
9040,-48.8127
9050,-48.83
9060,-48.8473
9070,-48.8645
9080,-48.8817
9090,-48.8987
9100,-48.916
9110,-48.933
9120,-48.95
9130,-48.967
9140,-48.9838
9150,-49.0007
9160,-49.0175
9170,-49.0343
9180,-49.0512
9190,-49.0677
9200,-49.0845
9210,-49.1012
9220,-49.1178
9230,-49.1345
9240,-49.151
9250,-49.1675
9260,-49.1838
9270,-49.2002
9280,-49.2167
9290,-49.233
9300,-49.2493
9310,-49.2655
9320,-49.2818
9330,-49.298
9340,-49.3143
9350,-49.3302
9360,-49.3462
9370,-49.3625
9380,-49.3785
9390,-49.3945
9400,-49.4102
9410,-49.4262
9420,-49.442
9430,-49.458
9440,-49.4737
9450,-49.4895
9460,-49.505
9470,-49.5208
9480,-49.5364
9490,-49.552
9500,-49.5676
9510,-49.5831
9520,-49.5986
9530,-49.614
9540,-49.6295
9550,-49.6448
9560,-49.6602
9570,-49.6755
9580,-49.6908
9590,-49.706
9600,-49.7212
9610,-49.7364
9620,-49.7515
9630,-49.7666
9640,-49.7817
9650,-49.7967
9660,-49.8117
9670,-49.8266
9680,-49.8415
9690,-49.8564
9700,-49.8713
9710,-49.8861
9720,-49.9009
9730,-49.9156
9740,-49.9303
9750,-49.945
9760,-49.9596
9770,-49.9742
9780,-49.9888
9790,-50.0033
9800,-50.0178
9810,-50.0323
9820,-50.0468
9830,-50.0611
9840,-50.0755
9850,-50.0898
9860,-50.1041
9870,-50.1184
9880,-50.1326
9890,-50.1468
9900,-50.161
9910,-50.1751
9920,-50.1892
9930,-50.2032
9940,-50.2173
9950,-50.2313
9960,-50.2452
9970,-50.2592
9980,-50.2731
9990,-50.2869
10000,-50.3007
10010,-50.3145
10020,-50.3283
10030,-50.342
10040,-50.3557
10050,-50.3694
10060,-50.383
10070,-50.3966
10080,-50.4102
10090,-50.4237
10100,-50.4372
10110,-50.4507
10120,-50.4641
10130,-50.4775
10140,-50.4909
10150,-50.5042
10160,-50.5175
10170,-50.5308
10180,-50.5441
10190,-50.5573
10200,-50.5705
10210,-50.5836
10220,-50.5967
10230,-50.6098
10240,-50.6229
10250,-50.6359
10260,-50.6489
10270,-50.6619
10280,-50.6748
10290,-50.6877
10300,-50.7005
10310,-50.7134
10320,-50.7262
10330,-50.739
10340,-50.7517
10350,-50.7644
10360,-50.7771
10370,-50.7897
10380,-50.8023
10390,-50.8149
10400,-50.8275
10410,-50.84
10420,-50.8525
10430,-50.865
10440,-50.8774
10450,-50.8898
10460,-50.9022
10470,-50.9146
10480,-50.9269
10490,-50.9392
10500,-50.9514
10510,-50.9637
10520,-50.9758
10530,-50.988
10540,-51.0002
10550,-51.0123
10560,-51.0243
10570,-51.0364
10580,-51.0484
10590,-51.0604
10600,-51.0724
10610,-51.0843
10620,-51.0962
10630,-51.1081
10640,-51.1199
10650,-51.1317
10660,-51.1435
10670,-51.1553
10680,-51.167
10690,-51.1787
10700,-51.1904
10710,-51.202
10720,-51.2137
10730,-51.2252
10740,-51.2368
10750,-51.2483
10760,-51.2598
10770,-51.2713
10780,-51.2827
10790,-51.2942
10800,-51.3055
10810,-51.3169
10820,-51.3282
10830,-51.3395
10840,-51.3508
10850,-51.362
10860,-51.3733
10870,-51.3845
10880,-51.3956
10890,-51.4068
10900,-51.4179
10910,-51.429
10920,-51.44
10930,-51.451
10940,-51.462
10950,-51.473
10960,-51.4839
10970,-51.4948
10980,-51.5057
10990,-51.5166
11000,-51.5275
11010,-51.5382
11020,-51.549
11030,-51.5598
11040,-51.5705
11050,-51.5812
11060,-51.5919
11070,-51.6025
11080,-51.6132
